Layer,Params,Trace(H),Omg_INT16,Omg_INT8,Omg_INT4,Omg_INT2
fc_part3,262144,9.01815128326416,0.0006661759518891378,44.2103738504938,12751.660754898114,104044.3979513684
fc_part1,262144,8.978515625,0.0002468491412384854,16.26673833388553,4709.813161424777,82769.09673861835
fc_part2,262144,9.048673629760742,0.00023809023663834975,15.749140580666676,4560.091820761575,79900.91509715228
fc_part0,262144,8.822044372558594,0.00023172018542274425,15.254678688574458,4408.163039691951,78015.43500748754
stem.0,576,1348.67919921875,2.958945825497727e-05,1.9950455955100244,624.3995030095626,7825.518321056053
layers.1.vss.1.in_proj,4096,3.009357452392578,1.637823493765829e-06,0.1092893743846824,30.313577423682492,328.3418549237834
layers.1.vss.1.out_proj,2048,1.313675880432129,8.889066338666539e-07,0.058368042416485355,16.416052178191435,84.99725927187549
layers.0.vss.1.out_proj,2048,3.627021312713623,2.3365855644796777e-07,0.015389579712353224,4.537413709693993,83.03193299663118
proj_conv,256,154.10055541992188,1.2762661253195814e-07,0.00875652793378178,2.3318560267383157,46.509927268746374
layers.0.vss.1.in_proj,4096,0.2954373359680176,1.5404717180616042e-07,0.01012708248856152,2.86705525028817,42.00914312717587
layers.0.vss.1.conv2d,576,0.031063757836818695,5.064327723845062e-09,0.0003126161407375512,0.078395831712536,0.7817708714411068
layers.1.vss.1.conv2d,576,0.01654757745563984,1.6531562054892902e-09,0.00011141658228562138,0.025042687777866637,0.31136497146629516
