sample_pos,global_idx,hoyer,zeta_full,zeta_proxy,c_d,c_a
0,0,45.19595716380919,0.9949765707914925,0.9296660886542825,0.04623104181490844,0.09443678087652671
1,20,45.17947944120143,0.9944494435364577,0.9191223723209333,0.04665232790558263,0.11510292745255075
2,40,45.21715009172579,0.9913047591769266,0.913385738141532,0.08759042142756485,0.08563810228937102
3,60,45.20317178667215,0.9940392608909062,0.9201579840327251,0.05246273973403853,0.10722129220051135
4,80,45.171550908280025,0.994604091886317,0.9318428329254511,0.05943015879934134,0.07688417534975638
5,100,45.193182271214035,0.9940965885408002,0.9194706868186202,0.0514537353673261,0.10960489099543344
6,120,45.17363328929361,0.9949437792505135,0.9308004379676543,0.05458154679191831,0.08381757727277285
7,140,45.145577532959706,0.9952609972797372,0.9292035522022173,0.04573954461005719,0.09585335098550817
8,160,45.21450952321844,0.9894716917170211,0.8983795791812794,0.0771102423056439,0.12613059933179743
9,180,45.22454563958777,0.9901423180981105,0.9019670102492993,0.08594549678956015,0.11012048271184148
10,200,45.22298370825511,0.9914422907047145,0.9258382759182073,0.08184508156924665,0.06647836659433864
11,220,45.22557704688086,0.9903158790477478,0.9012694109503705,0.07204649407623388,0.12541468402302514
12,240,45.1487968729893,0.9961826576867043,0.940226867262876,0.046667052400337014,0.07287921307391111
13,260,45.111236919844366,0.9954832452592374,0.9246614914077766,0.03863938637713114,0.11203763080731562
14,280,45.22263519842277,0.992431545593017,0.9159826225289593,0.055989315629211056,0.11204543931287028
15,300,45.20891298967296,0.9940395688129033,0.9291121500259869,0.048768595484867144,0.09300710446315899
16,320,45.21045024529958,0.993823039422012,0.9171215835818409,0.046824296092813134,0.11893253674350496
17,340,45.219958988676396,0.9903806860124901,0.9039966205003152,0.08459083651027383,0.10741592248909573
18,360,45.173238829197516,0.9954921191564549,0.9424652214300281,0.055464174413509384,0.05960538272643438
19,380,45.162157050074754,0.9965963626635108,0.9469250007087755,0.044226468889511594,0.061923529692937546
20,400,45.148771640021,0.9958961293353565,0.9299735140718735,0.036515178917321395,0.10353779293893163
21,420,45.232647319046336,0.9822725292079328,0.8786191097064406,0.157265147789116,0.0854966327980026
22,440,45.1697924201324,0.9957358185962015,0.9453227004867695,0.05192051614501399,0.05743408288144709
23,460,45.22494484377306,0.9913848648738871,0.9141469815797381,0.07948048758530446,0.09222554925521942
24,480,45.158385001574004,0.9968711466152357,0.9492087467627153,0.037483132198128134,0.06409937427644133
25,500,45.23241670006509,0.9887484277532538,0.9039037134268477,0.0901200835396663,0.10207248960663837
26,520,45.17579542544488,0.9964414441699398,0.9467944888642855,0.05171642002474323,0.0546946022466856
27,540,45.208960066647215,0.9945943058260087,0.9293308569033549,0.047431974328428717,0.09390631186486156
28,560,45.19408734459741,0.9955058811305822,0.9325913130786759,0.04526155444476275,0.08955581939788543
29,580,45.22043300866405,0.9923242701049717,0.9160582594959481,0.06458797818270726,0.10329550282539653
30,600,45.19617668252743,0.9952062238481291,0.9356532979972594,0.04432659282669784,0.08436681117878347
31,620,45.17057851280285,0.9950159821613657,0.9201559914137997,0.042103061629964786,0.11758495554243595
32,640,45.19725099780427,0.9945169310747964,0.9320763817050927,0.05769144871775884,0.07815578787205571
33,660,45.2220491462283,0.992346194413082,0.9172731411244031,0.08685777242212142,0.07859594532907266
34,680,45.198033029228334,0.9956785075634655,0.9370351090965591,0.05042109935469871,0.07550868245218303
35,700,45.230208192670055,0.9912335133899552,0.9146069673133369,0.0647775302339133,0.10600853513941294
36,720,45.21780279405104,0.9919035905117682,0.9239678567192545,0.07403791031876472,0.07802637624272633
37,740,45.18551464069582,0.994913882351642,0.9312916279749771,0.06548879752378607,0.07192794652625972
38,760,45.20217434473507,0.9939918634282543,0.9335712337200923,0.04958639581946302,0.0832711367403522
39,780,45.21918465994142,0.9908042973933544,0.9195707470255129,0.07996444462719973,0.0808940613217746
40,800,45.22462371145454,0.9908640512574154,0.8939851655817741,0.0571281403724888,0.15490152846396307
41,820,45.1499849194551,0.9968024215714817,0.9491319553392855,0.04215059505342758,0.05958549426800133
42,840,45.19751253809096,0.9938739448573338,0.935787827289774,0.056827514744182184,0.07159683067626986
43,860,45.23321722852259,0.9858650791225778,0.8947405106637357,0.09884216953892946,0.11167680913359922
44,880,45.171726593632805,0.995974862813342,0.9477036385656135,0.04928346685296169,0.05530925601581145
45,900,45.18953622788184,0.9936638020989988,0.9172552924382512,0.046613974290688656,0.11887544083280895
46,920,45.1940908065734,0.996315345542966,0.9465125124680466,0.04123189520265979,0.0657430798612471
47,940,45.21837451835507,0.9924954087906375,0.9258312272558247,0.05944671619873853,0.08889082928961231
48,960,45.19813638330705,0.9952226232314035,0.9392230275627189,0.041479684728871015,0.08007426014569127
