Target_Saving,Actual_Saving,NMSE_KL,NMSE_ILP,Policy,Summary
91.75,91.96347925573554,-12.601765594482423,-12.600830554962158,"{'fc_part3': 8, 'fc_part1': 4, 'fc_part2': 4, 'fc_part0': 4, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.in_proj': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 8}","{16: 7, 8: 2, 4: 3, 2: 0}"
91.5,91.96347925573554,-12.601765594482423,-12.600830554962158,"{'fc_part3': 8, 'fc_part1': 4, 'fc_part2': 4, 'fc_part0': 4, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.in_proj': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 8}","{16: 7, 8: 2, 4: 3, 2: 0}"
90.75,91.96347925573554,-12.601765594482423,-12.600830554962158,"{'fc_part3': 8, 'fc_part1': 4, 'fc_part2': 4, 'fc_part0': 4, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.in_proj': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 8}","{16: 7, 8: 2, 4: 3, 2: 0}"
91.0,91.96347925573554,-12.601765594482423,-12.600830554962158,"{'fc_part3': 8, 'fc_part1': 4, 'fc_part2': 4, 'fc_part0': 4, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.in_proj': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 8}","{16: 7, 8: 2, 4: 3, 2: 0}"
91.25,91.96347925573554,-12.601765594482423,-12.600830554962158,"{'fc_part3': 8, 'fc_part1': 4, 'fc_part2': 4, 'fc_part0': 4, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.in_proj': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 8}","{16: 7, 8: 2, 4: 3, 2: 0}"
92.0,92.01165171313302,-12.601765594482423,-12.600830554962158,"{'fc_part3': 8, 'fc_part1': 4, 'fc_part2': 4, 'fc_part0': 4, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.in_proj': 8, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 8}","{16: 6, 8: 3, 4: 3, 2: 0}"
92.25,93.504997892455,-11.005828666687012,-11.005828666687012,"{'fc_part3': 4, 'fc_part1': 4, 'fc_part2': 4, 'fc_part0': 4, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.in_proj': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 8}","{16: 7, 8: 1, 4: 4, 2: 0}"
92.5,93.504997892455,-11.005828666687012,-11.005828666687012,"{'fc_part3': 4, 'fc_part1': 4, 'fc_part2': 4, 'fc_part0': 4, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.in_proj': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 8}","{16: 7, 8: 1, 4: 4, 2: 0}"
92.75,93.504997892455,-11.005828666687012,-11.005828666687012,"{'fc_part3': 4, 'fc_part1': 4, 'fc_part2': 4, 'fc_part0': 4, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.in_proj': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 8}","{16: 7, 8: 1, 4: 4, 2: 0}"
93.0,93.504997892455,-11.005828666687012,-11.005828666687012,"{'fc_part3': 4, 'fc_part1': 4, 'fc_part2': 4, 'fc_part0': 4, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.in_proj': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 8}","{16: 7, 8: 1, 4: 4, 2: 0}"
