Policy,Actual_Saving,KL_Score,MSE,NMSE_dB,Target_Saving,MSE_Smoothed
"{'conv2d_1': 16, 'dense_1_part0': 16, 'dense_1_part1': 16, 'dense_1_part2': 16, 'dense_1_part3': 16, 'dense_1_part4': 16, 'dense_1_part5': 8, 'dense_1_part6': 16, 'dense_1_part7': 16, 'dense_1_part8': 8, 'dense_1_part9': 8, 'dense_1_part10': 8, 'dense_1_part11': 16, 'dense_1_part12': 8, 'dense_1_part13': 8, 'dense_1_part14': 8, 'dense_1_part15': 16, 'dense_1_part16': 16, 'dense_1_part17': 16, 'dense_1_part18': 16, 'dense_1_part19': 16, 'dense_1_part20': 16, 'dense_1_part21': 16, 'dense_1_part22': 16, 'dense_1_part23': 16, 'dense_1_part24': 16, 'dense_1_part25': 8, 'dense_1_part26': 16, 'dense_1_part27': 16, 'dense_1_part28': 16, 'dense_1_part29': 16, 'dense_1_part30': 16, 'dense_1_part31': 16}",89.06244635766136,9.886891,0.20273475348949432,-6.930718,88.99999999999994,0.2007017582654953
"{'conv2d_1': 16, 'dense_1_part0': 16, 'dense_1_part1': 16, 'dense_1_part2': 16, 'dense_1_part3': 16, 'dense_1_part4': 16, 'dense_1_part5': 8, 'dense_1_part6': 16, 'dense_1_part7': 16, 'dense_1_part8': 8, 'dense_1_part9': 8, 'dense_1_part10': 8, 'dense_1_part11': 16, 'dense_1_part12': 8, 'dense_1_part13': 8, 'dense_1_part14': 8, 'dense_1_part15': 16, 'dense_1_part16': 16, 'dense_1_part17': 16, 'dense_1_part18': 16, 'dense_1_part19': 16, 'dense_1_part20': 16, 'dense_1_part21': 16, 'dense_1_part22': 16, 'dense_1_part23': 16, 'dense_1_part24': 16, 'dense_1_part25': 8, 'dense_1_part26': 16, 'dense_1_part27': 16, 'dense_1_part28': 16, 'dense_1_part29': 16, 'dense_1_part30': 8, 'dense_1_part31': 16}",89.25775215236904,9.886891,0.20239612460136414,-6.9379783,89.09999999999994,0.2007017582654953
"{'conv2d_1': 16, 'dense_1_part0': 16, 'dense_1_part1': 16, 'dense_1_part2': 16, 'dense_1_part3': 16, 'dense_1_part4': 16, 'dense_1_part5': 8, 'dense_1_part6': 16, 'dense_1_part7': 16, 'dense_1_part8': 8, 'dense_1_part9': 8, 'dense_1_part10': 8, 'dense_1_part11': 16, 'dense_1_part12': 8, 'dense_1_part13': 8, 'dense_1_part14': 8, 'dense_1_part15': 16, 'dense_1_part16': 16, 'dense_1_part17': 16, 'dense_1_part18': 16, 'dense_1_part19': 16, 'dense_1_part20': 16, 'dense_1_part21': 16, 'dense_1_part22': 16, 'dense_1_part23': 16, 'dense_1_part24': 16, 'dense_1_part25': 8, 'dense_1_part26': 16, 'dense_1_part27': 16, 'dense_1_part28': 16, 'dense_1_part29': 16, 'dense_1_part30': 8, 'dense_1_part31': 16}",89.25775215236904,9.886891,0.20239612460136414,-6.9379783,89.19999999999993,0.2007017582654953
"{'conv2d_1': 16, 'dense_1_part0': 16, 'dense_1_part1': 16, 'dense_1_part2': 16, 'dense_1_part3': 16, 'dense_1_part4': 8, 'dense_1_part5': 8, 'dense_1_part6': 16, 'dense_1_part7': 16, 'dense_1_part8': 8, 'dense_1_part9': 8, 'dense_1_part10': 8, 'dense_1_part11': 16, 'dense_1_part12': 8, 'dense_1_part13': 8, 'dense_1_part14': 8, 'dense_1_part15': 16, 'dense_1_part16': 16, 'dense_1_part17': 16, 'dense_1_part18': 16, 'dense_1_part19': 16, 'dense_1_part20': 16, 'dense_1_part21': 16, 'dense_1_part22': 16, 'dense_1_part23': 16, 'dense_1_part24': 16, 'dense_1_part25': 8, 'dense_1_part26': 16, 'dense_1_part27': 16, 'dense_1_part28': 16, 'dense_1_part29': 16, 'dense_1_part30': 8, 'dense_1_part31': 16}",89.45305794707672,9.886891,0.20317527651786804,-6.9212914,89.29999999999993,0.2007017582654953
"{'conv2d_1': 16, 'dense_1_part0': 16, 'dense_1_part1': 16, 'dense_1_part2': 16, 'dense_1_part3': 16, 'dense_1_part4': 8, 'dense_1_part5': 8, 'dense_1_part6': 16, 'dense_1_part7': 16, 'dense_1_part8': 8, 'dense_1_part9': 8, 'dense_1_part10': 8, 'dense_1_part11': 16, 'dense_1_part12': 8, 'dense_1_part13': 8, 'dense_1_part14': 8, 'dense_1_part15': 16, 'dense_1_part16': 16, 'dense_1_part17': 16, 'dense_1_part18': 16, 'dense_1_part19': 16, 'dense_1_part20': 16, 'dense_1_part21': 16, 'dense_1_part22': 16, 'dense_1_part23': 16, 'dense_1_part24': 16, 'dense_1_part25': 8, 'dense_1_part26': 16, 'dense_1_part27': 16, 'dense_1_part28': 16, 'dense_1_part29': 16, 'dense_1_part30': 8, 'dense_1_part31': 16}",89.45305794707672,9.886891,0.20317527651786804,-6.9212914,89.39999999999992,0.2007017582654953
"{'conv2d_1': 16, 'dense_1_part0': 16, 'dense_1_part1': 16, 'dense_1_part2': 16, 'dense_1_part3': 16, 'dense_1_part4': 8, 'dense_1_part5': 8, 'dense_1_part6': 16, 'dense_1_part7': 8, 'dense_1_part8': 8, 'dense_1_part9': 8, 'dense_1_part10': 8, 'dense_1_part11': 16, 'dense_1_part12': 8, 'dense_1_part13': 8, 'dense_1_part14': 8, 'dense_1_part15': 16, 'dense_1_part16': 16, 'dense_1_part17': 16, 'dense_1_part18': 16, 'dense_1_part19': 16, 'dense_1_part20': 16, 'dense_1_part21': 16, 'dense_1_part22': 16, 'dense_1_part23': 16, 'dense_1_part24': 16, 'dense_1_part25': 8, 'dense_1_part26': 16, 'dense_1_part27': 16, 'dense_1_part28': 16, 'dense_1_part29': 16, 'dense_1_part30': 8, 'dense_1_part31': 16}",89.64836374178438,9.886891,0.20397929847240448,-6.904139,89.49999999999991,0.2007017582654953
"{'conv2d_1': 16, 'dense_1_part0': 16, 'dense_1_part1': 16, 'dense_1_part2': 16, 'dense_1_part3': 16, 'dense_1_part4': 8, 'dense_1_part5': 8, 'dense_1_part6': 16, 'dense_1_part7': 8, 'dense_1_part8': 8, 'dense_1_part9': 8, 'dense_1_part10': 8, 'dense_1_part11': 16, 'dense_1_part12': 8, 'dense_1_part13': 8, 'dense_1_part14': 8, 'dense_1_part15': 16, 'dense_1_part16': 16, 'dense_1_part17': 16, 'dense_1_part18': 16, 'dense_1_part19': 16, 'dense_1_part20': 16, 'dense_1_part21': 16, 'dense_1_part22': 16, 'dense_1_part23': 16, 'dense_1_part24': 16, 'dense_1_part25': 8, 'dense_1_part26': 16, 'dense_1_part27': 16, 'dense_1_part28': 16, 'dense_1_part29': 16, 'dense_1_part30': 8, 'dense_1_part31': 16}",89.64836374178438,9.886891,0.20397929847240448,-6.904139,89.59999999999991,0.2007017582654953
"{'conv2d_1': 16, 'dense_1_part0': 16, 'dense_1_part1': 8, 'dense_1_part2': 16, 'dense_1_part3': 16, 'dense_1_part4': 8, 'dense_1_part5': 8, 'dense_1_part6': 16, 'dense_1_part7': 8, 'dense_1_part8': 8, 'dense_1_part9': 8, 'dense_1_part10': 8, 'dense_1_part11': 16, 'dense_1_part12': 8, 'dense_1_part13': 8, 'dense_1_part14': 8, 'dense_1_part15': 16, 'dense_1_part16': 16, 'dense_1_part17': 16, 'dense_1_part18': 16, 'dense_1_part19': 16, 'dense_1_part20': 16, 'dense_1_part21': 16, 'dense_1_part22': 16, 'dense_1_part23': 16, 'dense_1_part24': 16, 'dense_1_part25': 8, 'dense_1_part26': 16, 'dense_1_part27': 16, 'dense_1_part28': 16, 'dense_1_part29': 16, 'dense_1_part30': 8, 'dense_1_part31': 16}",89.84366953649206,9.886891,0.20169392228126526,-6.953072,89.6999999999999,0.2007017582654953
"{'conv2d_1': 16, 'dense_1_part0': 16, 'dense_1_part1': 8, 'dense_1_part2': 16, 'dense_1_part3': 16, 'dense_1_part4': 8, 'dense_1_part5': 8, 'dense_1_part6': 16, 'dense_1_part7': 8, 'dense_1_part8': 8, 'dense_1_part9': 8, 'dense_1_part10': 8, 'dense_1_part11': 16, 'dense_1_part12': 8, 'dense_1_part13': 8, 'dense_1_part14': 8, 'dense_1_part15': 16, 'dense_1_part16': 16, 'dense_1_part17': 16, 'dense_1_part18': 16, 'dense_1_part19': 16, 'dense_1_part20': 16, 'dense_1_part21': 16, 'dense_1_part22': 16, 'dense_1_part23': 16, 'dense_1_part24': 16, 'dense_1_part25': 8, 'dense_1_part26': 16, 'dense_1_part27': 16, 'dense_1_part28': 16, 'dense_1_part29': 16, 'dense_1_part30': 8, 'dense_1_part31': 16}",89.84366953649206,9.886891,0.20169392228126526,-6.953072,89.7999999999999,0.2007017582654953
"{'conv2d_1': 16, 'dense_1_part0': 16, 'dense_1_part1': 8, 'dense_1_part2': 16, 'dense_1_part3': 16, 'dense_1_part4': 8, 'dense_1_part5': 8, 'dense_1_part6': 16, 'dense_1_part7': 8, 'dense_1_part8': 8, 'dense_1_part9': 8, 'dense_1_part10': 8, 'dense_1_part11': 16, 'dense_1_part12': 8, 'dense_1_part13': 8, 'dense_1_part14': 8, 'dense_1_part15': 16, 'dense_1_part16': 16, 'dense_1_part17': 16, 'dense_1_part18': 16, 'dense_1_part19': 8, 'dense_1_part20': 16, 'dense_1_part21': 16, 'dense_1_part22': 16, 'dense_1_part23': 16, 'dense_1_part24': 16, 'dense_1_part25': 8, 'dense_1_part26': 16, 'dense_1_part27': 16, 'dense_1_part28': 16, 'dense_1_part29': 16, 'dense_1_part30': 8, 'dense_1_part31': 16}",90.03897533119972,9.886891,0.20320600271224976,-6.9206343,89.89999999999989,0.2007017582654953
