saving,rho_zeta_full,rho_zeta_proxy,rho_hoyer
0.8501987113867646,0.39144435144435147,0.5867108387108387,-0.1590775230775231
0.8510567832841573,0.39237168837168834,0.5873128793128793,-0.16001480801480802
0.8540525079785632,0.3914855234855235,0.5867565707565707,-0.15901706701706703
0.8550159571265129,0.3917381477381478,0.5867006867006868,-0.15921626721626722
0.8579063045703619,0.39130609930609933,0.5866293106293106,-0.15879085479085478
0.8583880291443368,0.39169305169305174,0.5867473547473547,-0.15945757545757547
0.8590052387547419,0.3914825594825595,0.5866725946725947,-0.15915581115581118
0.8617601011621605,0.3914100194100194,0.5867395187395188,-0.15884899484899484
0.8620009634491478,0.3916553236553237,0.5866154266154266,-0.1592873432873433
0.8630321551153127,0.3913569793569794,0.5867369147369148,-0.15861059061059063
0.8656138977539591,0.39127882327882335,0.5866370986370988,-0.1587781947781948
0.8660956223279341,0.3918143478143479,0.5868285228285229,-0.1595966315966316
0.8694676943457577,0.39140321540321543,0.5866918306918307,-0.1588993948993949
0.87019028120672,0.39221508821508827,0.5871421431421432,-0.15984043584043586
0.8710107183717709,0.3906642906642907,0.5862398622398622,-0.15758719358719359
0.8733214909375565,0.3920879480879481,0.5871205191205191,-0.1596961116961117
0.8740440777985187,0.3920469440469441,0.5871150111150112,-0.15963546363546363
0.875,0.37573784773784774,0.5756838476838477,-0.138994878994879
0.8760387186126333,0.39346040146040145,0.5882615522615523,-0.16018715218715218
0.8770021677605829,0.38254165054165057,0.5842274842274843,-0.14467358467358465
0.8780333594267478,0.3966390966390967,0.5911357591357592,-0.16326143526143527
0.8790269163605708,0.38418392418392416,0.5862722742722744,-0.14610140610140612
0.8800656349732041,0.39673911673911677,0.5916220116220117,-0.1622913182913183
0.8810215571746853,0.36954063354063355,0.5758348198348199,-0.12814950814950815
0.8820602757873186,0.3992403872403873,0.5942225822225823,-0.16454838854838857
0.8830161979887999,0.3454486534486535,0.562924546924547,-0.10457742857742859
0.8840549166014331,0.40180573780573786,0.5961440961440962,-0.16766897966897967
0.8850296561690854,0.33883803883803887,0.5556764676764677,-0.09746134946134946
0.8860871921478894,0.40564149364149366,0.598899454899455,-0.17108981108981108
0.8870054796170291,0.3405681165681166,0.5587267147267148,-0.09882099882099885
0.8880140904437888,0.40771088371088376,0.6011696891696893,-0.17261470061470063
0.8890038839043777,0.3121493401493402,0.5416059256059256,-0.06278978678978679
0.8900087312579033,0.4102452262452263,0.6033158073158074,-0.17578527178527178
0.8910135786114288,0.1703910023910024,0.24335295935295936,-0.043953439953439956
0.8921087493225748,0.41031173031173035,0.6028900948900949,-0.1763770763770764
0.8930119828987776,0.3594606114606115,0.5759975519975521,-0.11945707145707148
0.8940356476184741,0.4116265236265237,0.6041329841329841,-0.17785484185484185
0.895066839284639,0.4136526176526177,0.6063604743604744,-0.17890345090345092
0.8960302884325887,0.41375376575376577,0.6064398784398785,-0.17910890310890312
0.8972345998675257,0.41508942708942714,0.6073036993036993,-0.18005606405606406
0.8980249292467032,0.4167886887886888,0.609005961005961,-0.18232790632790633
0.899161498163425,0.4175845775845776,0.6091316011316011,-0.18267825867825868
0.9000158065875836,0.4223459783459783,0.6176024816024818,-0.18471107271107273
0.9010883964593244,0.4196987756987758,0.6106156786156787,-0.18549044949044952
0.902010447401698,0.4068440868440869,0.6064741744741745,-0.166017922017922
0.9030152947552236,0.4194475794475795,0.6104097944097945,-0.1846840366840367
0.9040088516890468,0.40881170481170476,0.6058697458697458,-0.17115030315030316
0.9051830553381104,0.4203340215950237,0.6104674202988226,-0.18600778256580594
0.9060034925031611,0.4110722310722311,0.6070664950664951,-0.17415276615276618
0.9071099536340096,0.4223345783345783,0.6114490314490315,-0.1876672756672757
0.90800189679051,0.40201405801405804,0.6052404652404653,-0.16191167391167394
0.909036851929909,0.4248222528222528,0.6134755214755214,-0.19096592296592296
0.9100078280243272,0.36962653073541035,0.5804596922010713,-0.1306957310878183
0.9112046125127958,0.42777869577869587,0.6165348525348526,-0.19345605745605748
0.912006232311676,0.3665653865653866,0.5772437772437773,-0.1252641532641533
0.9131315108086951,0.4295847335847336,0.6185485865485865,-0.19478025878025879
0.9140008731257904,0.27282866082866086,0.33975162375162377,-0.15133572733572734
0.9150584091045944,0.43094840294840303,0.6192810912810914,-0.19630612030612032
0.9160143313060758,0.3192398421975618,0.5458288934663802,-0.07275520297346859
0.9170154151863672,0.430907734907735,0.61995235995236,-0.19581175581175583
0.9180277894863612,0.3758888438888439,0.5885439485439485,-0.1308270588270588
0.9191530679833804,0.4335760215760216,0.621934113934114,-0.19855945855945858
0.9200036129343048,0.37487937887937894,0.5892534492534492,-0.13355907755907756
0.9210799662792798,0.43395550995550997,0.6214066174066174,-0.19901526701526703
0.9220434154272296,0.4373882333882334,0.6229486069486071,-0.20195963795963795
0.9230068645751792,0.4363754696845961,0.6226614125293969,-0.20106165966484468
0.9242111760101164,0.44070933270933277,0.6257868617868618,-0.20415734415734416
0.9250015053892936,0.43904622704622714,0.6244786564786565,-0.20264781464781467
0.9261380743060156,0.44059460059460065,0.62589910989911,-0.2035884595884596
0.9270262539892816,0.4235198435198435,0.6135397335397337,-0.1836043956043956
0.9280649726019148,0.4432409752409753,0.6276176556176556,-0.20665399465399467
0.9290284217498646,0.43611919611919614,0.6254691254691256,-0.19770875370875374
0.9300219786836876,0.4423748023748024,0.6272972312972314,-0.2056105216105216
