Layer,Params,Trace(H),Omg_INT16,Omg_INT8,Omg_INT4,Omg_INT2
fc,1048576,35.367435455322266,0.010486105721749617,693.4913524666922,200162.590596218,1619591.2203683183
stem.0,576,1051.4542236328125,2.3068470981350745e-05,1.5553729300149286,486.793012064924,6100.912875023712
layers.1.vss.1.in_proj,4096,3.3865485191345215,1.8431073128274005e-06,0.12298763933321612,34.113063123233644,369.49602702662406
layers.1.vss.1.out_proj,2048,1.8135740756988525,1.227165734646054e-06,0.08057906075051657,22.662916400576957,117.34159712989525
layers.0.vss.1.out_proj,2048,3.9362056255340576,2.5357670800576194e-07,0.01670145968705326,4.924204141527478,90.10996450853003
proj_conv,256,117.0504150390625,9.694154597779322e-08,0.006651210478491223,1.77121175843454,35.32762276818881
layers.0.vss.1.in_proj,4096,0.15097463130950928,7.872131290212216e-08,0.005175150053198006,1.4651249407526052,21.467543565555594
layers.1.vss.1.conv2d,576,0.016233842819929123,1.6218131063986543e-09,0.00010930417393163607,0.024567884904883923,0.3054616314663508
layers.0.vss.1.conv2d,576,0.0007337611168622971,1.1962515244697167e-10,7.3843470510475265e-06,0.001851798270412677,0.018466312761398502
