Layer,Params,Trace(H),Omg_INT16,Omg_INT8,Omg_INT4,Omg_INT2
fc_part7,131072,4.3564229011535645,0.00016067736353076327,10.67985976957111,3089.1495207617986,25561.12874715755
fc_part2,131072,4.461771011352539,6.128620859730789e-05,4.052377801674276,1169.4310006661262,20627.035021704287
fc_part4,131072,4.593121528625488,6.037984703899746e-05,3.9940465021587612,1158.6075765736125,20503.05239446768
fc_part3,131072,4.488945960998535,5.5691762086327664e-05,3.6758531605691833,1061.2748061291993,19629.888702152773
fc_part0,131072,4.385488510131836,5.7618944148481323e-05,3.7958961632432278,1095.2427735092288,19577.50867527084
fc_part6,131072,4.485486030578613,5.467153826162272e-05,3.5805046436614605,1042.0286311101784,19100.689423515247
fc_part5,131072,4.5712385177612305,5.362302561085342e-05,3.532698071181556,1020.5180995431273,18831.81437143134
fc_part1,131072,4.498222351074219,5.285691181590071e-05,3.4847027412919664,1009.7511621159092,18699.16716515474
stem.0,576,1116.973876953125,2.450594027337997e-05,1.6522934548156019,517.1266332632704,6481.081300357441
layers.1.vss.1.in_proj,4096,3.2672884464263916,1.7782007830981713e-06,0.1186565291405799,32.91174373702459,356.4839225788124
layers.0.vss.1.out_proj,2048,5.885716915130615,3.79167366133255e-07,0.024973305040212234,7.363048165303157,134.73933853689772
layers.1.vss.1.out_proj,2048,1.2124807834625244,8.204323668492287e-07,0.05387183463780613,15.151490640010712,78.44974932494803
layers.0.vss.1.in_proj,4096,0.3986516296863556,2.0786525131592677e-07,0.013665090516759352,3.86869264232714,56.68550088465787
proj_conv,256,151.9095458984375,1.25812010874681e-07,0.008632027175002688,2.2987015793491286,45.84864676127719
layers.0.vss.1.conv2d,576,0.03300654888153076,5.381061153234327e-09,0.00033216779452804965,0.08329886761031607,0.8306644230851495
layers.1.vss.1.conv2d,576,0.02529638633131981,2.5271903486889472e-09,0.00017032323412704534,0.03828291521836181,0.47598560147952584
