Target_Drop,Est_NMSE_Drop,Saved_Bits_Pct,Policy
2.0,1.9953954648971552,24.760643102306258,"{'stem.0': 16, 'fc': 8, 'layers.1.vss.1.out_proj': 16, 'layers.1.vss.1.in_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16, 'layers.0.vss.1.in_proj': 8, 'layers.0.vss.1.out_proj': 16}"
2.4210526315789473,2.3835215234756464,24.905160474498704,"{'stem.0': 16, 'fc': 8, 'layers.1.vss.1.out_proj': 16, 'layers.1.vss.1.in_proj': 8, 'proj_conv': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16, 'layers.0.vss.1.in_proj': 8, 'layers.0.vss.1.out_proj': 8}"
2.8421052631578947,2.833174934387206,24.980429939182272,"{'stem.0': 16, 'fc': 8, 'layers.1.vss.1.out_proj': 16, 'layers.1.vss.1.in_proj': 8, 'proj_conv': 16, 'layers.0.vss.1.conv2d': 8, 'layers.1.vss.1.conv2d': 8, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_proj': 8}"
3.263157894736842,3.196773967742918,25.0105377250557,"{'stem.0': 16, 'fc': 8, 'layers.1.vss.1.out_proj': 16, 'layers.1.vss.1.in_proj': 8, 'proj_conv': 8, 'layers.0.vss.1.conv2d': 8, 'layers.1.vss.1.conv2d': 8, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_proj': 4}"
3.6842105263157894,3.6733815956115703,25.058710182453183,"{'stem.0': 16, 'fc': 8, 'layers.1.vss.1.out_proj': 8, 'layers.1.vss.1.in_proj': 8, 'proj_conv': 8, 'layers.0.vss.1.conv2d': 8, 'layers.1.vss.1.conv2d': 8, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_proj': 4}"
4.105263157894736,3.928531260490415,25.065484434274705,"{'stem.0': 16, 'fc': 8, 'layers.1.vss.1.out_proj': 8, 'layers.1.vss.1.in_proj': 8, 'proj_conv': 8, 'layers.0.vss.1.conv2d': 8, 'layers.1.vss.1.conv2d': 4, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_proj': 4}"
4.526315789473684,4.372133035659787,25.106882639850664,"{'stem.0': 16, 'fc': 8, 'layers.1.vss.1.out_proj': 8, 'layers.1.vss.1.in_proj': 4, 'proj_conv': 8, 'layers.0.vss.1.conv2d': 8, 'layers.1.vss.1.conv2d': 8, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_proj': 4}"
4.947368421052632,4.93479574680328,25.12043114349371,"{'stem.0': 16, 'fc': 8, 'layers.1.vss.1.out_proj': 8, 'layers.1.vss.1.in_proj': 4, 'proj_conv': 8, 'layers.0.vss.1.conv2d': 4, 'layers.1.vss.1.conv2d': 4, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_proj': 4}"
5.368421052631579,5.300482754707333,25.123441922081053,"{'stem.0': 16, 'fc': 8, 'layers.1.vss.1.out_proj': 8, 'layers.1.vss.1.in_proj': 4, 'proj_conv': 4, 'layers.0.vss.1.conv2d': 4, 'layers.1.vss.1.conv2d': 4, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_proj': 4}"
6.2105263157894735,6.0468802118301355,25.14451737219245,"{'stem.0': 16, 'fc': 8, 'layers.1.vss.1.out_proj': 4, 'layers.1.vss.1.in_proj': 4, 'proj_conv': 8, 'layers.0.vss.1.conv2d': 4, 'layers.1.vss.1.conv2d': 4, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_proj': 4}"
6.631578947368421,6.531467123031615,37.140964653459385,"{'stem.0': 16, 'fc': 4, 'layers.1.vss.1.out_proj': 16, 'layers.1.vss.1.in_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16, 'layers.0.vss.1.in_proj': 8, 'layers.0.vss.1.out_proj': 8}"
7.052631578947368,7.039444274902342,37.28548202565183,"{'stem.0': 16, 'fc': 4, 'layers.1.vss.1.out_proj': 16, 'layers.1.vss.1.in_proj': 8, 'proj_conv': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_proj': 8}"
7.473684210526315,7.355670161247251,37.32311675799362,"{'stem.0': 16, 'fc': 4, 'layers.1.vss.1.out_proj': 16, 'layers.1.vss.1.in_proj': 8, 'proj_conv': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 8, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_proj': 4}"
7.894736842105263,7.644184470176694,37.342686818811345,"{'stem.0': 16, 'fc': 4, 'layers.1.vss.1.out_proj': 16, 'layers.1.vss.1.in_proj': 8, 'proj_conv': 8, 'layers.0.vss.1.conv2d': 8, 'layers.1.vss.1.conv2d': 8, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_proj': 4}"
8.31578947368421,8.120792098045348,37.39085927620883,"{'stem.0': 16, 'fc': 4, 'layers.1.vss.1.out_proj': 8, 'layers.1.vss.1.in_proj': 8, 'proj_conv': 8, 'layers.0.vss.1.conv2d': 8, 'layers.1.vss.1.conv2d': 8, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_proj': 4}"
8.736842105263158,8.662820534706114,37.43301017643162,"{'stem.0': 16, 'fc': 4, 'layers.1.vss.1.out_proj': 8, 'layers.1.vss.1.in_proj': 4, 'proj_conv': 16, 'layers.0.vss.1.conv2d': 8, 'layers.1.vss.1.conv2d': 8, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_proj': 4}"
9.157894736842104,9.07469320297241,37.44580598542783,"{'stem.0': 16, 'fc': 4, 'layers.1.vss.1.out_proj': 8, 'layers.1.vss.1.in_proj': 4, 'proj_conv': 8, 'layers.0.vss.1.conv2d': 8, 'layers.1.vss.1.conv2d': 4, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_proj': 4}"
9.578947368421051,9.38220624923706,37.45258023724935,"{'stem.0': 16, 'fc': 4, 'layers.1.vss.1.out_proj': 8, 'layers.1.vss.1.in_proj': 4, 'proj_conv': 8, 'layers.0.vss.1.conv2d': 4, 'layers.1.vss.1.conv2d': 4, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_proj': 4}"
10.0,9.747893257141111,37.455591015836696,"{'stem.0': 16, 'fc': 4, 'layers.1.vss.1.out_proj': 8, 'layers.1.vss.1.in_proj': 4, 'proj_conv': 4, 'layers.0.vss.1.conv2d': 4, 'layers.1.vss.1.conv2d': 4, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_proj': 4}"
