l,r,b,omega_nmse
21,24,4,0.004225404647504911
21,24,2,0.0732979550533928
21,25,8,2.5125465914607047e-05
21,25,4,0.0053951282636262475
21,25,2,0.09581456799814478
21,26,8,2.813530373387039e-05
21,26,4,0.006812931117229163
21,26,2,0.11661135257435963
21,27,8,3.349212915636599e-05
21,27,4,0.007949039214290679
21,27,2,0.13727180624892935
22,23,8,6.181911425665021e-06
22,23,4,0.0012789883193559946
22,23,2,0.0245688212223351
22,24,8,1.2142060277983546e-05
22,24,4,0.0023931237711105496
22,24,2,0.04570497704492882
22,25,8,1.6492403764277696e-05
22,25,4,0.0035505673667415977
22,25,2,0.0686373205867596
22,26,8,1.9542929157614707e-05
22,26,4,0.004964909641677514
22,26,2,0.08917706403350457
22,27,8,2.486255643889308e-05
22,27,4,0.0061194377949927
22,27,2,0.11014402051782235
22,28,8,2.8399394825100897e-05
22,28,4,0.007244447065982968
22,28,2,0.13110584923578425
23,24,8,5.984231969341636e-06
23,24,4,0.0011577883562073111
23,24,2,0.022588991654198618
23,25,8,1.0305545013397931e-05
23,25,4,0.0023369110783562066
23,25,2,0.04626386691937223
23,26,8,1.3449503667652606e-05
23,26,4,0.0037732326885685325
23,26,2,0.06701461671469733
23,27,8,1.8770414497703313e-05
23,27,4,0.004949713621847331
23,27,2,0.08829662623060867
23,28,8,2.2429379634559156e-05
23,28,4,0.006075756873143837
23,28,2,0.10937818873254582
23,29,8,2.6346518052741884e-05
23,29,4,0.007029092503711581
23,29,2,0.13087484840052202
24,25,8,4.307955177500844e-06
24,25,4,0.0012091415170114488
24,25,2,0.02536011928534135
24,26,8,7.4903079774230715e-06
24,26,4,0.0026873981909360735
24,26,2,0.046896695527154954
24,27,8,1.2815837655216456e-05
24,27,4,0.0038696441812906416
24,27,2,0.06825874974420294
24,28,8,1.6421536495909094e-05
24,28,4,0.004994942291779444
24,28,2,0.08939373057661579
24,29,8,2.0330218272283674e-05
24,29,4,0.005960480200033635
24,29,2,0.11058458522586152
24,30,8,2.604986266233027e-05
24,30,4,0.007155495118163526
24,30,2,0.1365769413332455
25,26,8,3.1821635086089375e-06
25,26,4,0.0015153249633964151
25,26,2,0.023018411163613202
25,27,8,8.489317214116454e-06
25,27,4,0.0027271151390392333
