Target_Saving,Realized_Saving,Lambda,SNR_Context,QoS_Target,Rate_10,Outage_10dB_99,Outage_10dB_98,Outage_10dB_95,Rate_20,Outage_20dB_99,Outage_20dB_98,Outage_20dB_95,Rate_30,Outage_30dB_99,Outage_30dB_98,Outage_30dB_95,encoder
86.0,86.12955380261336,7.888609052210118e-22,10,0.99,3.881483554840088,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
86.1,86.14772385138797,2.1175823681357508e-13,10,0.99,3.881484031677246,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
86.19999999999999,86.21733305232733,8.470329472543003e-13,10,0.99,3.881484270095825,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
86.29999999999998,86.2868845466771,1.6940658945086007e-12,10,0.99,3.8814830780029297,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
86.39999999999998,86.43202916440858,3.3881317890172014e-12,10,0.99,3.8814778327941895,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
86.49999999999997,86.51758545593223,5.082197683525802e-12,10,0.99,3.881474494934082,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
86.59999999999997,86.60594177154212,6.776263578034403e-12,10,0.99,3.8814663887023926,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
86.69999999999996,86.74061389775396,1.3552527156068805e-11,10,0.99,3.8814518451690674,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
86.79999999999995,86.82109451837579,2.710505431213761e-11,10,0.99,3.8814356327056885,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
86.89999999999995,86.87977208406093,1.0842021724855044e-10,10,0.99,3.8813982009887695,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
86.99999999999994,87.00322404207061,2.1684043449710089e-10,10,0.99,3.881106376647949,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
87.09999999999994,87.12516308384015,2.439454888092385e-10,10,0.99,3.8807311058044434,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
87.19999999999993,87.19712194656871,2.574980159653073e-10,10,0.99,3.8804943561553955,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
87.29999999999993,87.28475316633548,2.710505431213761e-10,10,0.99,3.880190372467041,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
87.39999999999992,87.42528251139078,2.981555974335137e-10,10,0.99,3.879662275314331,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
87.49999999999991,87.54671850223801,3.117081245895825e-10,10,0.99,3.879150390625,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
87.59999999999991,87.64373707874189,3.1848438816761693e-10,10,0.99,3.8787612915039062,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
87.6999999999999,87.71679236667269,3.2526065174565133e-10,10,0.99,3.878451347351074,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
87.7999999999999,87.78580317536782,3.3203691532368573e-10,10,0.99,3.8781421184539795,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
87.89999999999989,87.85950703518597,3.3881317890172014e-10,10,0.99,3.8778300285339355,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
87.99999999999989,87.97055458541578,3.5236570605778894e-10,10,0.99,3.8773033618927,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
88.09999999999988,88.0694009554204,3.6591823321385775e-10,10,0.99,3.8768396377563477,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
88.19999999999987,88.16004169928343,3.7947076036992655e-10,10,0.99,3.8763818740844727,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
88.29999999999987,88.31552834146244,4.0657581468206416e-10,10,0.99,3.8756086826324463,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
88.39999999999986,88.4212957387447,4.2012834183813297e-10,10,0.99,3.8750357627868652,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
88.49999999999986,88.47864354388712,4.3368086899420177e-10,10,0.99,3.8747034072875977,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
88.59999999999985,88.5596811585476,4.607859233063394e-10,10,0.99,3.874244451522827,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
88.69999999999985,88.7296044840529,5.421010862427522e-10,10,0.99,3.8731653690338135,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
88.79999999999984,88.84928293289978,1.734723475976807e-09,10,0.99,3.872119188308716,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
88.89999999999984,88.92759579293872,0.029103830456733704,10,0.99,3.8719751834869385,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
88.99999999999983,89.00678177876799,0.11641532182693481,10,0.99,3.8719701766967773,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
89.09999999999982,89.05930732020634,0.23283064365386963,10,0.99,3.8719608783721924,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
89.19999999999982,89.24310531703499,0.9313225746154785,10,0.99,3.8718888759613037,0.43,0.09666666666666666,0.0,,,,,,,,,mamba
89.29999999999981,89.33594518375784,1.862645149230957,10,0.99,3.8718008995056152,0.43,0.1,0.0,,,,,,,,,mamba
89.3999999999998,89.41609963669939,3.725290298461914,10,0.99,3.871628522872925,0.43,0.1,0.0,,,,,,,,,mamba
89.4999999999998,89.49928995804981,5.587935447692871,10,0.99,3.87129807472229,0.43,0.1,0.0,,,,,,,,,mamba
89.5999999999998,89.58409104594448,7.450580596923828,10,0.99,3.870950222015381,0.43,0.1,0.0,,,,,,,,,mamba
89.69999999999979,89.7347855322053,11.175870895385742,10,0.99,3.8701977729797363,0.43,0.1,0.0,,,,,,,,,mamba
