Actual_Saving,Base_NMSE,NMSE_Sigma,High_S,Mid_S,Low_S,Outage_Prob,encoder
75.0,-15.398171948291388,3.4349911,-16.19009571710712,-15.469720883652512,-14.66822193826271,0.355,mamba
75.50167098211598,-15.397781690705122,3.4349189,-16.189700403185025,-15.469403659804847,-14.667775465257584,0.355,mamba
76.15613897753958,-15.396184859608084,3.4321785,-16.189106322445873,-15.468437595140841,-14.66494744738656,0.355,mamba
76.54151863671945,-15.395947221058355,3.4320078,-16.188772986570786,-15.468312506906496,-14.664683643504407,0.355,mamba
77.00593123381707,-15.39557565665169,3.4316664,-16.188294386558347,-15.467917605052417,-14.664407069208545,0.355,mamba
77.69765761425904,-15.394140136327024,3.4297721,-16.187251268383992,-15.466202506552797,-14.662927885198243,0.355,mamba
78.0830372734389,-15.393919695434393,3.4291224,-16.187075422397506,-15.465916580252959,-14.662730951196878,0.355,mamba
78.51658939001625,-15.392999118517325,3.4283051,-16.186076967377414,-15.464987165047074,-14.661871836396788,0.355,mamba
79.2391762509785,-15.391526097316593,3.4270103,-16.184252102481533,-15.463343236477382,-14.660788126817954,0.3566666666666667,mamba
79.62455591015836,-15.391324824152717,3.4267135,-16.184005485273772,-15.46306717443812,-14.660681663391308,0.3566666666666667,mamba
80.00993556933823,-15.390692791879507,3.4262817,-16.183253288495845,-15.462541566677135,-14.660045303110243,0.3566666666666667,mamba
80.5052086469561,-15.390038463877662,3.4256186,-16.18259089881729,-15.462032524834918,-14.659275171665005,0.3566666666666667,mamba
81.16607454687782,-15.386945593915158,3.4240258,-16.180984721100558,-15.457852899185681,-14.656039557715241,0.3566666666666667,mamba
81.55145420605768,-15.386659245597716,3.4238079,-16.18059795709455,-15.457592534437916,-14.655801816495567,0.3566666666666667,mamba
82.00909255133378,-15.386184183932013,3.4231894,-16.179972560060275,-15.457083503915099,-14.655462478811428,0.3566666666666667,mamba
82.70759318359728,-15.384094138485542,3.4213564,-16.1777063762706,-15.454616503443013,-14.653809177708768,0.3566666666666667,mamba
83.09297284277714,-15.383805463110601,3.4209778,-16.17723301968855,-15.454331906927127,-14.65364808656136,0.3566666666666667,mamba
83.50243873065575,-15.38315775993041,3.4197488,-16.176553771007654,-15.453672748498343,-14.653031649231202,0.3566666666666667,mamba
84.00072258686096,-15.381313815854865,3.4182332,-16.174184444160453,-15.451866184697359,-14.651526115010423,0.35833333333333334,mamba
84.6344914794966,-15.374601112632412,3.418324,-16.169518310987847,-15.44472678396182,-14.643728645377823,0.36,mamba
85.01987113867646,-15.374069094643087,3.4180534,-16.169093391505147,-15.444284148695214,-14.643044811649322,0.36,mamba
85.5015957126513,-15.372769437999256,3.416667,-16.16742324807197,-15.44250782719008,-14.642402549015149,0.36,mamba
86.17601011621605,-15.363385102503102,3.414558,-16.155748190512213,-15.432755263757072,-14.634938445129118,0.3616666666666667,mamba
86.56138977539591,-15.362514354520796,3.4138486,-16.154858031151672,-15.431866258701529,-14.634095626471808,0.3616666666666667,mamba
87.019028120672,-15.353760681886223,3.408447,-16.14643175562843,-15.422589479794308,-14.625546411068873,0.365,mamba
87.5,-15.217944898244829,3.2713013,-15.935613531562083,-15.291009371061893,-14.539797847443223,0.38666666666666666,mamba
88.00656349732041,-15.021853049472917,3.0907443,-15.796580710484617,-15.090921810689974,-14.306126774042973,0.415,mamba
88.50296561690854,-14.54016554384628,2.7357278,-15.261668787057927,-14.616104393823237,-13.856824944015543,0.48333333333333334,mamba
89.00087312579032,-14.533998897975701,2.7204273,-15.257526602356625,-14.610150810837366,-13.849015698217473,0.48333333333333334,mamba
89.5066839284639,-14.247670267459274,2.5435786,-14.94414354544029,-14.314773067677525,-13.589996147189536,0.5383333333333333,mamba
90.00158065875836,-13.894886275959697,2.4654028,-14.591182504010083,-13.951274132594346,-13.246430767955067,0.5833333333333334,mamba
90.51830553381104,-13.789045830521067,2.3257189,-14.455755190086537,-13.8436001420356,-13.163994441821949,0.6,mamba
91.00078280243272,-13.34526913648232,2.143933,-13.988134960173968,-13.403587603648333,-12.73478330871117,0.6783333333333333,mamba
91.50584091045944,-13.344857072601792,2.1440918,-13.988134960173968,-13.40245558557263,-12.734679753498526,0.6783333333333333,mamba
92.00036129343049,-12.928521752911985,2.0059493,-13.561892617182593,-12.973197916731252,-12.336912364372576,0.76,mamba
92.50015053892938,-12.928521752911985,2.0059493,-13.561892617182593,-12.973197916731252,-12.336912364372576,0.76,mamba
93.00219786836875,-12.69321892146232,1.922586,-13.308295770579504,-12.727817514446468,-12.12420944791235,0.8033333333333333,mamba
93.5008580718974,-12.06375241216248,1.970155,-12.628371051792904,-12.136632607526348,-11.500219611027994,0.865,mamba
94.00027097007286,-8.64719735320325,1.6312258,-9.203342383817416,-8.751448281007233,-8.063256639389246,1.0,mamba
94.50043656289516,-6.499015316985501,1.3556265,-7.334336147789862,-6.612486000762663,-5.704443731588843,1.0,mamba
95.0007903293792,-4.168450064795022,1.6319611,-4.86753967270532,-4.182164591209673,-3.55454138241244,1.0,mamba
