position,csinet_w8,csinet_w4,csinet_w2
2.280000000000000000e+02,3.532159462338313460e-05,6.236474728211760521e-04,1.702610752545297146e-03
2.290000000000000000e+02,4.493728920351713896e-05,7.297265692614018917e-04,2.275066217407584190e-03
2.300000000000000000e+02,4.924693348584696651e-05,8.870087913237512112e-04,2.512625418603420258e-03
2.310000000000000000e+02,5.988779957988299429e-05,1.033861190080642700e-03,3.220227314159274101e-03
2.320000000000000000e+02,7.823509804438799620e-05,1.355416723527014256e-03,4.133402835577726364e-03
2.330000000000000000e+02,1.003920187940821052e-04,1.719020889140665531e-03,5.681579001247882843e-03
2.340000000000000000e+02,1.295427500735968351e-04,2.323702676221728325e-03,8.070407435297966003e-03
2.350000000000000000e+02,1.793297269614413381e-04,3.111944533884525299e-03,1.170334406197071075e-02
2.360000000000000000e+02,2.096773969242349267e-04,3.595028072595596313e-03,1.378368306905031204e-02
2.370000000000000000e+02,2.560871653258800507e-04,4.161134827882051468e-03,1.783826388418674469e-02
2.380000000000000000e+02,2.650452370289713144e-04,4.337089601904153824e-03,1.814291998744010925e-02
2.390000000000000000e+02,2.441229880787432194e-04,4.282617010176181793e-03,1.880490407347679138e-02
2.400000000000000000e+02,2.220861788373440504e-04,3.515897551551461220e-03,1.555893942713737488e-02
2.410000000000000000e+02,1.700139255262911320e-04,2.783850533887743950e-03,1.137291826307773590e-02
2.420000000000000000e+02,1.259760756511241198e-04,2.082732273265719414e-03,8.326734416186809540e-03
2.430000000000000000e+02,1.024641096591949463e-04,1.682572299614548683e-03,6.223748438060283661e-03
2.440000000000000000e+02,8.358265040442347527e-05,1.347118755802512169e-03,4.851382225751876831e-03
2.450000000000000000e+02,6.732374458806589246e-05,1.154666068032383919e-03,3.825213061645627022e-03
2.460000000000000000e+02,5.929473991272971034e-05,9.875369723886251450e-04,3.027489874511957169e-03
2.470000000000000000e+02,5.141303336131386459e-05,8.686645887792110443e-04,2.827190794050693512e-03
2.480000000000000000e+02,4.621346670319326222e-05,8.090576156973838806e-04,2.798990346491336823e-03
2.490000000000000000e+02,4.483242810238152742e-05,7.219685940071940422e-04,2.412682631984353065e-03
2.500000000000000000e+02,4.388957313494756818e-05,7.490535499528050423e-04,2.465707017108798027e-03
2.510000000000000000e+02,3.939666203223168850e-05,6.781775737181305885e-04,2.440805546939373016e-03
2.520000000000000000e+02,3.749200186575762928e-05,6.386868190020322800e-04,2.212744439020752907e-03
