sample_idx,nmse_linear,rate_10,rate_20,rate_30
0,0.026223337277770042,3.795004367828369,7.019171714782715,10.330938339233398
1,0.08043356984853745,4.696310997009277,7.965411186218262,11.281940460205078
2,0.05923062935471535,3.226435422897339,6.3936767578125,9.699054718017578
3,0.04210378974676132,3.1624743938446045,6.329418182373047,9.634859085083008
4,0.1291624754667282,2.9322047233581543,6.069208145141602,9.37120532989502
5,0.03756825625896454,3.864795207977295,7.092110633850098,10.404199600219727
6,0.0382368266582489,3.536741018295288,6.74066162109375,10.050220489501953
7,0.05248915031552315,4.0672149658203125,7.305410861968994,10.618658065795898
8,0.04971383512020111,4.633939743041992,7.9012322425842285,11.217575073242188
9,0.051221296191215515,4.289737701416016,7.54189920425415,10.856651306152344
10,0.053304411470890045,4.308632850646973,7.561251163482666,10.876049995422363
11,0.02233983762562275,3.6083221435546875,6.808626174926758,10.117684364318848
12,0.03972264751791954,3.021334409713745,6.171497344970703,9.475028038024902
13,0.052179161459207535,3.2609472274780273,6.437024116516113,9.74347972869873
14,0.04870888963341713,3.632326126098633,6.833525657653809,10.142655372619629
15,0.11601573973894119,4.1418256759643555,7.377932548522949,10.690759658813477
16,0.020882856100797653,4.410086631774902,7.668238162994385,10.983620643615723
17,0.011657155118882656,3.9819726943969727,7.214077949523926,10.526607513427734
18,0.03894185274839401,3.2291030883789062,6.40297794342041,9.709197998046875
19,0.07490023970603943,3.456338882446289,6.647273063659668,9.955326080322266
20,0.018173841759562492,4.134573936462402,7.378562927246094,10.692436218261719
21,0.019522514194250107,3.504452705383301,6.704310417175293,10.01340103149414
22,0.03019820898771286,4.768438339233398,8.04146957397461,11.358414649963379
23,0.04288467764854431,4.244973182678223,7.495856761932373,10.810478210449219
24,0.027709873393177986,4.461246967315674,7.717114448547363,11.032170295715332
25,0.0364554300904274,4.287267684936523,7.54049825668335,10.855369567871094
26,0.029389774426817894,2.746752977371216,5.859425067901611,9.158628463745117
27,0.04298140108585358,4.640784740447998,7.908360481262207,11.224733352661133
28,0.04721938818693161,3.93070650100708,7.162884712219238,10.475505828857422
29,0.037989016622304916,4.500255584716797,7.762942314147949,11.07880687713623
30,0.03618523105978966,4.21961784362793,7.468776226043701,10.78321361541748
31,0.03482833132147789,2.8767473697662354,6.007297515869141,9.308566093444824
32,0.009891491383314133,3.7919580936431885,7.0138397216796875,10.325338363647461
33,0.013211781159043312,3.5978074073791504,6.802454948425293,10.111966133117676
34,0.049193985760211945,4.870713710784912,8.146293640136719,11.463500022888184
35,0.06193946301937103,3.84285306930542,7.067337989807129,10.37910270690918
36,0.03445702791213989,3.750115394592285,6.969577789306641,10.28082275390625
37,0.08851100504398346,3.8266711235046387,7.049609661102295,10.361217498779297
38,0.0160995926707983,3.961059808731079,7.194484710693359,10.507217407226562
39,0.01735534332692623,3.9388198852539062,7.1654133796691895,10.477356910705566
40,0.037217818200588226,3.167715549468994,6.32302188873291,9.626450538635254
41,0.03962061181664467,4.119348526000977,7.3620710372924805,10.675817489624023
42,0.09107127040624619,4.82077169418335,8.092586517333984,11.409393310546875
43,0.034363582730293274,4.050004482269287,7.281888961791992,10.594408988952637
44,0.07601451128721237,4.122919082641602,7.354166030883789,10.666553497314453
45,0.03972324728965759,3.748105525970459,6.966976165771484,10.278158187866211
46,0.029902208596467972,4.23837423324585,7.483450889587402,10.797405242919922
47,0.029289232566952705,2.3921191692352295,5.441779136657715,8.733404159545898
48,0.03512571007013321,4.027632236480713,7.266739845275879,10.58011245727539
49,0.024965379387140274,3.2310280799865723,6.404827117919922,9.711028099060059
50,0.04474995657801628,3.666041374206543,6.880082130432129,10.190740585327148
51,0.07106499373912811,4.62799072265625,7.89543342590332,11.211793899536133
52,0.04902892932295799,2.8847858905792236,5.997679233551025,9.296236038208008
53,0.01810920238494873,2.6935977935791016,5.7978057861328125,9.096007347106934
54,0.022213084623217583,3.945775270462036,7.179527282714844,10.492321014404297
55,0.04932517185807228,2.867715835571289,5.987946510314941,9.287850379943848
56,0.03040364757180214,3.776792526245117,6.9983062744140625,10.309778213500977
57,0.029496731236577034,3.3233423233032227,6.503963470458984,9.810904502868652
58,0.05087048187851906,3.477203130722046,6.677006721496582,9.986128807067871
59,0.020795412361621857,3.861001491546631,7.078497886657715,10.389123916625977
60,0.01574530266225338,3.610698938369751,6.818648338317871,10.128625869750977
61,0.0398467481136322,3.2885360717773438,6.467928409576416,9.774747848510742
62,0.01498299278318882,3.6609911918640137,6.87275505065918,10.183151245117188
63,0.012873388826847076,3.1146228313446045,6.271284580230713,9.57536506652832
64,0.0258990116417408,3.431865930557251,6.623737335205078,9.931900978088379
65,0.11334173381328583,4.2914509773254395,7.539982795715332,10.854296684265137
66,0.02697921171784401,4.416292190551758,7.6754279136657715,10.990920066833496
67,0.021847372874617577,4.618549346923828,7.88493537902832,11.201178550720215
68,0.07523754239082336,3.7314984798431396,6.948962211608887,10.259987831115723
69,0.05059267580509186,2.619987726211548,5.707820892333984,9.00396728515625
70,0.06221982091665268,4.51385498046875,7.775230884552002,11.090950012207031
71,0.03425931930541992,4.826684951782227,8.1014986038208,11.41862678527832
72,0.01112932339310646,3.926906108856201,7.160422325134277,10.473200798034668
73,0.016683930531144142,4.420166969299316,7.676699638366699,10.991891860961914
74,0.027248242869973183,3.5486061573028564,6.748227119445801,10.057262420654297
75,0.01957419514656067,2.7368688583374023,5.848783016204834,9.147911071777344
76,0.04940374195575714,4.376998424530029,7.626216888427734,10.940595626831055
77,0.07929608970880508,3.7210073471069336,6.935906887054443,10.24661636352539
78,0.04592689871788025,3.1715121269226074,6.33708381652832,9.642338752746582
79,0.023004289716482162,4.891173362731934,8.167953491210938,11.485283851623535
80,0.023090261965990067,4.225314140319824,7.465675354003906,10.778903007507324
81,0.040595199912786484,2.167897939682007,5.167001724243164,8.452277183532715
82,0.0622522309422493,4.65879487991333,7.926791667938232,11.243204116821289
83,0.07132510840892792,5.019703388214111,8.300348281860352,11.61807918548584
84,0.03847021237015724,2.867304801940918,5.998183250427246,9.299516677856445
85,0.0529448539018631,4.0340094566345215,7.268937110900879,10.581829071044922
86,0.048073675483465195,4.108370780944824,7.349272727966309,10.662817001342773
87,0.046360138803720474,4.121585845947266,7.36594295501709,10.679872512817383
88,0.05413927137851715,5.0304155349731445,8.311083793640137,11.628816604614258
89,0.05995292589068413,4.324908256530762,7.575133323669434,10.889650344848633
90,0.02119356580078602,3.5412254333496094,6.7412824630737305,10.050310134887695
91,0.03349786624312401,3.6459126472473145,6.858176231384277,10.168645858764648
92,0.07522614300251007,3.4975013732910156,6.695548057556152,10.004440307617188
93,0.05086003988981247,3.4767003059387207,6.674973487854004,9.983903884887695
94,0.021394498646259308,2.556718349456787,5.637984275817871,8.93345832824707
95,0.04400017112493515,4.060312271118164,7.30092716217041,10.614458084106445
96,0.037843331694602966,3.221658706665039,6.396408557891846,9.702747344970703
97,0.030139297246932983,3.636270046234131,6.849177837371826,10.159730911254883
98,0.04457728564739227,2.485464572906494,5.550501823425293,8.843945503234863
99,0.04158855974674225,3.7124295234680176,6.926810264587402,10.237485885620117
100,0.014648723416030407,3.864989757537842,7.090950012207031,10.40284538269043
101,0.02707662247121334,3.296788215637207,6.467007637023926,9.772665023803711
102,0.021704599261283875,3.7971248626708984,7.021041393280029,10.332780838012695
103,0.05803018435835838,4.990685939788818,8.270074844360352,11.58767318725586
104,0.05329814553260803,4.8966803550720215,8.171982765197754,11.489155769348145
105,0.07881927490234375,3.8601622581481934,7.0874810218811035,10.399579048156738
106,0.018393253907561302,4.238519668579102,7.488808631896973,10.803363800048828
107,0.05999932065606117,3.869853973388672,7.0947465896606445,10.406553268432617
108,0.0664849504828453,3.7557692527770996,6.974932670593262,10.286138534545898
109,0.03132854029536247,4.301990032196045,7.5527825355529785,10.867374420166016
110,0.017087558284401894,4.622708320617676,7.883081436157227,11.198543548583984
111,0.016850801184773445,4.353893756866455,7.6086931228637695,10.923709869384766
