Target_Saving,Budget,Avg_Saving,SNR_Context,Num_Policies,NMSE_dB,Rate_10,Outage_10dB_95,Outage_10dB_98,Outage_10dB_99,NMSE_dB_Low,Rate_10_Low,NMSE_dB_Mid,Rate_10_Mid,NMSE_dB_High,Rate_10_High,Rate_20,Outage_20dB_95,Outage_20dB_98,Outage_20dB_99,Rate_20_Low,Rate_20_Mid,Rate_20_High,Rate_30,Outage_30dB_95,Outage_30dB_98,Outage_30dB_99,Rate_30_Low,Rate_30_Mid,Rate_30_High
88.75,0.22216796874999795,88.96256660344983,10,7,-14.460244018729323,3.885620670366287,0.00165,0.1463,0.56055,-13.86551488265942,4.618578815145556,-14.515909010944538,3.907935180453819,-15.085596207714044,3.1298946705685946,,,,,,,,,,,,,,
88.75,0.22216796874999795,88.97874710256178,20,5,-14.464420656344952,,,,,-13.867300129310342,,-14.525801001275527,,-15.086427901895105,,7.1018475967884065,0.0001,0.0153,0.2311,7.883405851760022,7.13663086007295,6.285016077620929,,,,,,,
88.75,0.22216796874999795,89.01795659110749,30,4,-14.462372929610698,,,,,-13.86328578644084,,-14.522156408964719,,-15.088806856777559,,,,,,,,,10.412529880285263,0.0,0.0022,0.0693,11.19939154511665,10.448756832238365,9.588947212710385
89.5,0.21093749999999797,89.57656010114692,10,4,-14.193641954980032,3.8825254314303397,0.0018,0.1694,0.60465,-13.630097647738753,4.615329237633575,-14.245397589414024,3.90479110981364,-14.782433560382177,3.1270027238638605,,,,,,,,,,,,,,
89.5,0.21093749999999797,89.60858243776151,20,2,-14.203551653366763,,,,,-13.649879036609915,,-14.251260637207634,,-14.78407084873642,,7.098568222641945,0.0001,0.0161,0.2622,7.880272821745046,7.133194082142281,6.281747769765636,,,,,,,
89.5,0.21093749999999797,89.61061440741744,30,1,-14.246852176382141,,,,,-13.714798360777058,,-14.29515199768607,,-14.79877978309255,,,,,,,,,10.409848986959457,0.0,0.0022,0.07515,11.197312914259648,10.445950011829451,9.585789698083289
90.0,0.199707031249998,90.17188958126373,10,3,-13.917798058073778,3.8790855427265165,0.00235,0.19575,0.6509,-13.353098189871131,4.611231906584229,-13.974344014189663,3.901419455874946,-14.502678104785334,3.1241523964064464,,,,,,,,,,,,,,
90.0,0.199707031249998,90.1865649176676,20,2,-13.924709882759512,,,,,-13.384294522154166,,-13.968471136782597,,-14.492517709295194,,7.094826215410232,0.0001,0.0212,0.29805,7.876196553339555,7.1294181419119695,6.278374177711208,,,,,,,
90.0,0.199707031249998,90.18859688732353,30,1,-13.966226854330898,,,,,-13.44671383151752,,-14.010082795581864,,-14.507081799675632,,,,,,,,,10.406087689590453,0.0,0.0023,0.0924,11.193233614705893,10.442154330555093,9.582380998320653
90.5,0.188476562499998,90.57617628465637,10,2,-13.775163912963812,3.8772951521039007,0.0023,0.2079,0.68445,-13.265277884962277,4.609957903534192,-13.813249347443964,3.8993766322848176,-14.310217994792565,3.122097892742626,,,,,,,,,,,,,,
90.5,0.188476562499998,90.57617628465637,20,2,-13.777840492713185,,,,,-13.266998136904105,,-13.817198196724894,,-14.312684751062816,,7.0928167563199995,0.0001,0.02215,0.31875,7.874386067510581,7.127358535627583,6.276215803222496,,,,,,,
90.5,0.188476562499998,90.57617628465637,30,2,-13.778685052235016,,,,,-13.267726193617012,,-13.817944371320955,,-14.313787971125883,,,,,,,,,10.40348336277008,0.0,0.0025,0.10545,11.190429906467513,10.439500636373657,9.58002556958834
91.0,0.17724609374999803,91.15190102050032,10,6,-13.507597831420235,3.87367118511796,0.00255,0.24255,0.73155,-13.009094769045202,4.605891342640781,-13.54412089983173,3.8957177512146575,-14.029954556827636,3.1189517203678174,,,,,,,,,,,,,,
91.0,0.17724609374999803,91.15190102050032,20,6,-13.448123842640367,,,,,-12.905833417348443,,-13.494311486511206,,-14.015615337335758,,7.087925356030464,0.0001,0.0331,0.3692,7.86827024536785,7.122604381702013,6.27241223098851,,,,,,,
91.0,0.17724609374999803,91.15190102050032,30,2,-13.499777894404739,,,,,-12.992192869452207,,-13.53789758487534,,-14.031866653346832,,,,,,,,,10.399369264793396,0.0,0.00275,0.1284,11.185810614862197,10.435404279236316,9.576399216989651
91.5,0.16601562499999806,91.7298835004064,10,4,-13.24496521062448,3.8699067254662514,0.0031,0.2777,0.77635,-12.753743807492551,4.601606438599021,-13.278360459230829,3.8919179526788428,-13.76161807716781,3.115743377593671,,,,,,,,,,,,,,
91.5,0.16601562499999806,91.7298835004064,20,5,-13.247715831407918,,,,,-12.75527037793697,,-13.2825185858103,,-13.764339766691535,,7.084849546980858,0.0001,0.03475,0.40375,7.865659336165604,7.119371732266706,6.269028177567605,,,,,,,
91.5,0.16601562499999806,91.7298835004064,30,2,-13.249358702031891,,,,,-12.75549541057919,,-13.287591496575326,,-13.763939888285428,,,,,,,,,10.395461295461654,0.0,0.00335,0.1514,11.18164907992065,10.431538401782763,9.57270284832454
92.25,0.15478515624999808,92.30786598031247,10,3,-13.008861079950304,3.8663462365210055,0.0036,0.316,0.81705,-12.526005840643762,4.597603302911576,-13.047829834362934,3.8884406695483182,-13.508769351400554,3.1125425453267606,,,,,,,,,,,,,,
92.25,0.15478515624999808,92.30786598031247,20,3,-13.011765548936928,,,,,-12.529733866726486,,-13.049188193833213,,-13.512361231756886,,7.0809953499555585,0.00015,0.0418,0.4526,7.861505813418424,7.115581804002626,6.265409178593579,,,,,,,
92.25,0.15478515624999808,92.30786598031247,30,3,-12.972834865127421,,,,,-12.451669638373959,,-13.021626402566842,,-13.510267761317412,,,,,,,,,10.390853385782242,0.0,0.005,0.18285,11.175931159221419,10.427128930826994,9.569007058103546
92.75,0.1435546874999981,92.88584846021854,10,2,-12.77253754293187,3.8625707779586316,0.0046,0.35885,0.85435,-12.300977933104383,4.593411820193716,-12.807999404661455,3.8846181029678464,-13.2622072610621,3.1092304969284714,,,,,,,,,,,,,,
92.75,0.1435546874999981,92.88584846021854,20,2,-12.773023798548255,,,,,-12.302018800827293,,-12.808627951162595,,-13.2618431482308,,7.076880788516998,0.0001,0.0519,0.50105,7.857096297696599,7.111456845288657,6.261600151997941,,,,,,,
92.75,0.1435546874999981,92.88584846021854,30,1,-12.772578899498637,,,,,-12.30113383975921,,-12.80880939929114,,-13.261251902671884,,,,,,,,,10.387381759929657,0.0,0.0058,0.20195,11.17301270185149,10.423456699889652,9.565182657230373
93.25,0.1323242187499981,93.46383094012462,10,1,-12.528237218111718,3.8584323794066906,0.0059,0.4093,0.89245,-12.066344688063976,4.588781843231192,-12.563200629810368,3.88047327187938,-13.006420121487016,3.1055904082497774,,,,,,,,,,,,,,
93.25,0.1323242187499981,93.46383094012462,20,1,-12.528237218111718,,,,,-12.066344688063976,,-12.563200629810368,,-13.006420121487016,,7.072401985788345,0.0001,0.06435,0.55345,7.852237128181663,7.106994709499453,6.257485267423353,,,,,,,
93.25,0.1323242187499981,93.46383094012462,30,1,-12.528237218111718,,,,,-12.066344688063976,,-12.563200629810368,,-13.006420121487016,,,,,,,,,10.382878010606765,0.0,0.0065,0.23795,11.168158328812067,10.4189661819204,9.5610165027868
