Target_Saving,Actual_Saving,NMSE_KL,NMSE_ILP,Policy,Summary
87.2,87.33214909375565,-15.371858081817628,-15.371858081817628,"{'fc_part7': 8, 'fc_part2': 8, 'fc_part4': 8, 'fc_part3': 8, 'fc_part0': 8, 'fc_part6': 8, 'fc_part5': 8, 'fc_part1': 8, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.0.vss.1.out_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.in_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16}","{16: 8, 8: 8, 4: 0, 2: 0}"
87.1,87.33214909375565,-15.371858081817628,-15.371858081817628,"{'fc_part7': 8, 'fc_part2': 8, 'fc_part4': 8, 'fc_part3': 8, 'fc_part0': 8, 'fc_part6': 8, 'fc_part5': 8, 'fc_part1': 8, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.0.vss.1.out_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.in_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16}","{16: 8, 8: 8, 4: 0, 2: 0}"
87.0,87.33214909375565,-15.371858081817628,-15.371858081817628,"{'fc_part7': 8, 'fc_part2': 8, 'fc_part4': 8, 'fc_part3': 8, 'fc_part0': 8, 'fc_part6': 8, 'fc_part5': 8, 'fc_part1': 8, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.0.vss.1.out_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.in_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16}","{16: 8, 8: 8, 4: 0, 2: 0}"
86.9,87.33214909375565,-15.371858081817628,-15.371858081817628,"{'fc_part7': 8, 'fc_part2': 8, 'fc_part4': 8, 'fc_part3': 8, 'fc_part0': 8, 'fc_part6': 8, 'fc_part5': 8, 'fc_part1': 8, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.0.vss.1.out_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.in_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16}","{16: 8, 8: 8, 4: 0, 2: 0}"
86.8,87.33214909375565,-15.371858081817628,-15.371858081817628,"{'fc_part7': 8, 'fc_part2': 8, 'fc_part4': 8, 'fc_part3': 8, 'fc_part0': 8, 'fc_part6': 8, 'fc_part5': 8, 'fc_part1': 8, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.0.vss.1.out_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.in_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16}","{16: 8, 8: 8, 4: 0, 2: 0}"
86.7,87.33214909375565,-15.371858081817628,-15.371858081817628,"{'fc_part7': 8, 'fc_part2': 8, 'fc_part4': 8, 'fc_part3': 8, 'fc_part0': 8, 'fc_part6': 8, 'fc_part5': 8, 'fc_part1': 8, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.0.vss.1.out_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.in_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16}","{16: 8, 8: 8, 4: 0, 2: 0}"
86.4,87.33214909375565,-15.371858081817628,-15.371858081817628,"{'fc_part7': 8, 'fc_part2': 8, 'fc_part4': 8, 'fc_part3': 8, 'fc_part0': 8, 'fc_part6': 8, 'fc_part5': 8, 'fc_part1': 8, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.0.vss.1.out_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.in_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16}","{16: 8, 8: 8, 4: 0, 2: 0}"
86.5,87.33214909375565,-15.371858081817628,-15.371858081817628,"{'fc_part7': 8, 'fc_part2': 8, 'fc_part4': 8, 'fc_part3': 8, 'fc_part0': 8, 'fc_part6': 8, 'fc_part5': 8, 'fc_part1': 8, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.0.vss.1.out_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.in_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16}","{16: 8, 8: 8, 4: 0, 2: 0}"
86.3,87.33214909375565,-15.371858081817628,-15.371858081817628,"{'fc_part7': 8, 'fc_part2': 8, 'fc_part4': 8, 'fc_part3': 8, 'fc_part0': 8, 'fc_part6': 8, 'fc_part5': 8, 'fc_part1': 8, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.0.vss.1.out_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.in_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16}","{16: 8, 8: 8, 4: 0, 2: 0}"
86.2,87.33214909375565,-15.371858081817628,-15.371858081817628,"{'fc_part7': 8, 'fc_part2': 8, 'fc_part4': 8, 'fc_part3': 8, 'fc_part0': 8, 'fc_part6': 8, 'fc_part5': 8, 'fc_part1': 8, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.0.vss.1.out_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.in_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16}","{16: 8, 8: 8, 4: 0, 2: 0}"
