Layer,Params,Trace(H),Omg_INT16,Omg_INT8,Omg_INT4,Omg_INT2
encoder1.conv3x3_bn.conv,36,32.21257400512695,7.467353928158082e-07,0.04803353342578575,13.09991877134924,178.4461584115167
encoder_fc_part19,32768,0.016846753656864166,1.104792898921023e-07,0.0072518111077014575,2.068178242748516,17.18611290876377
encoder_fc_part12,32768,0.016348371282219887,3.282752006114908e-08,0.0021635101711109175,0.6268524645359939,11.61957161004969
encoder_fc_part1,32768,0.01413017325103283,2.9899935695924935e-08,0.0019618083336798986,0.5694230341037932,10.148043218865292
encoder_fc_part8,32768,0.01448127068579197,2.761703596182611e-08,0.0018151584638278757,0.5268181749432101,9.895271272950591
encoder_fc_part9,32768,0.015310656279325485,2.6382979634119336e-08,0.0017474187614544992,0.5062932903338311,9.80173864630157
encoder_fc_part14,32768,0.014283953234553337,2.6133655028117653e-08,0.0017262105779949956,0.5030173214240842,9.560959979265016
encoder_fc_part20,32768,0.012177342548966408,2.8937068046328174e-08,0.0019194828261369676,0.5508542832578157,9.405271028997907
encoder_fc_part27,32768,0.011634868569672108,2.5899018684127963e-08,0.0017231835441931073,0.5024536776039652,8.687084100979677
encoder_fc_part2,32768,0.010049641132354736,2.485196447794235e-08,0.0016512334617118268,0.4773049336359396,7.889934685560163
encoder_fc_part10,32768,0.010784967802464962,2.1727126757582847e-08,0.0014509213368014934,0.41416056954706354,7.647448329813372
encoder_fc_part0,32768,0.011761043220758438,2.0103728652908797e-08,0.001334473650050581,0.38559548815863487,7.589461582865397
encoder_fc_part31,32768,0.011153735220432281,2.0281148864062474e-08,0.0013389214835944313,0.38346462568647555,7.549116330912199
encoder_fc_part13,32768,0.011036666110157967,2.084456783898821e-08,0.0013702103872090985,0.392953629537995,7.4997591695169925
encoder_fc_part5,32768,0.009775284677743912,2.175627885299179e-08,0.001435567073583228,0.41296572475122145,7.3315848182658705
encoder_fc_part24,32768,0.010788616724312305,2.023242852872322e-08,0.001331506944365166,0.38272932620725786,7.269898221760975
encoder_fc_part22,32768,0.011031551286578178,1.9305828551194818e-08,0.0012680735708271676,0.364345184472111,7.153728887190508
encoder_fc_part4,32768,0.009975765831768513,2.0021870624027973e-08,0.0013214559790668521,0.38034672735203495,7.044791274000744
encoder_fc_part3,32768,0.011063775978982449,1.8057555302495585e-08,0.0011996665319193558,0.3454904157708454,6.918967138770532
encoder_fc_part28,32768,0.009733414277434349,1.8692559733610874e-08,0.0012398402131853835,0.35834474560773033,6.8020732632546785
encoder_fc_part23,32768,0.010054181329905987,1.766517021056455e-08,0.001161941070008608,0.33882056138189703,6.581559199815586
encoder_fc_part25,32768,0.01056046225130558,1.642370980217865e-08,0.0010836492273775583,0.3149244237444113,6.34313060397944
encoder_fc_part17,32768,0.010061168111860752,1.674716697090949e-08,0.0011111535371348363,0.31543547871884753,6.275536437595263
encoder_fc_part26,32768,0.008514104411005974,1.5915144002207457e-08,0.0010526352546213731,0.2999317349359636,5.754459651001971
encoder_fc_part16,32768,0.00956294871866703,1.4605070552798426e-08,0.0009565007140021016,0.2764823969132453,5.706203889273917
encoder_fc_part30,32768,0.008356211706995964,1.5243559282975327e-08,0.0010123400000349796,0.29251877508851276,5.66679644364883
encoder_fc_part11,32768,0.007939864881336689,1.5183987956497945e-08,0.0010134179928576984,0.29142001898339054,5.408592193263657
encoder_fc_part6,32768,0.008052287623286247,1.4744581844552533e-08,0.0009714494426371496,0.2813382830483217,5.35471737445316
encoder_fc_part21,32768,0.007777050137519836,1.4126571760281823e-08,0.0009424584765662856,0.2700242406254646,5.135905546255815
encoder_fc_part15,32768,0.00767964031547308,1.2568648436494524e-08,0.0008291351279297956,0.2383245055716546,4.869264826180151
encoder_fc_part29,32768,0.006687586195766926,1.3872823722840809e-08,0.0009113274816530191,0.2633537481233921,4.799253197716685
encoder2.conv,36,0.489751935005188,2.032750824559934e-08,0.0016152003381467537,0.32668901557957974,4.784032849800754
encoder_fc_part7,32768,0.007065896410495043,1.2656709262313595e-08,0.0008457396256634796,0.24230891578881875,4.627304101827798
encoder_fc_part18,32768,0.005126100964844227,9.064956880482544e-09,0.0005988863096659679,0.17262242676474274,3.3579510195179805
encoder_conv.conv1x1_bn.conv,8,0.02090781182050705,2.256067948983488e-10,8.177538878919848e-06,0.0030186598707427257,0.019724537879840867
encoder1.conv1x9_bn.conv,36,0.0018720559310168028,2.837182220795072e-11,1.8783259493680293e-06,0.0005135691526211622,0.005030322564469669
encoder1.conv9x1_bn.conv,36,0.0007702417206019163,3.40054543262304e-12,2.3548634223464903e-07,6.40811845022003e-05,0.0015041214502759387
