Target_Drop,Actual_NMSE,Saved_Bits_Pct,Policy
1.9210526315789473,-14.398281860351563,24.664298187511292,"{'stem.0': 16, 'fc': 8, 'layers.1.vss.1.out_proj': 16, 'layers.1.vss.1.in_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16, 'layers.0.vss.1.in_proj': 16, 'layers.0.vss.1.out_proj': 16}"
2.0,-14.398281860351563,24.760643102306258,"{'stem.0': 16, 'fc': 8, 'layers.1.vss.1.out_proj': 16, 'layers.1.vss.1.in_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16, 'layers.0.vss.1.in_proj': 8, 'layers.0.vss.1.out_proj': 16}"
2.4210526315789473,-14.398281860351563,24.905160474498704,"{'stem.0': 16, 'fc': 8, 'layers.1.vss.1.out_proj': 16, 'layers.1.vss.1.in_proj': 8, 'proj_conv': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16, 'layers.0.vss.1.in_proj': 8, 'layers.0.vss.1.out_proj': 8}"
2.8421052631578947,-14.398281860351563,24.980429939182272,"{'stem.0': 16, 'fc': 8, 'layers.1.vss.1.out_proj': 16, 'layers.1.vss.1.in_proj': 8, 'proj_conv': 16, 'layers.0.vss.1.conv2d': 8, 'layers.1.vss.1.conv2d': 8, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_proj': 8}"
3.263157894736842,-14.398281860351563,25.0105377250557,"{'stem.0': 16, 'fc': 8, 'layers.1.vss.1.out_proj': 16, 'layers.1.vss.1.in_proj': 8, 'proj_conv': 8, 'layers.0.vss.1.conv2d': 8, 'layers.1.vss.1.conv2d': 8, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_proj': 4}"
3.6842105263157894,-14.398281860351563,25.058710182453183,"{'stem.0': 16, 'fc': 8, 'layers.1.vss.1.out_proj': 8, 'layers.1.vss.1.in_proj': 8, 'proj_conv': 8, 'layers.0.vss.1.conv2d': 8, 'layers.1.vss.1.conv2d': 8, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_proj': 4}"
4.105263157894736,-14.398281860351563,25.065484434274705,"{'stem.0': 16, 'fc': 8, 'layers.1.vss.1.out_proj': 8, 'layers.1.vss.1.in_proj': 8, 'proj_conv': 8, 'layers.0.vss.1.conv2d': 8, 'layers.1.vss.1.conv2d': 4, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_proj': 4}"
4.526315789473684,-13.532939434051514,25.106882639850664,"{'stem.0': 16, 'fc': 8, 'layers.1.vss.1.out_proj': 8, 'layers.1.vss.1.in_proj': 4, 'proj_conv': 8, 'layers.0.vss.1.conv2d': 8, 'layers.1.vss.1.conv2d': 8, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_proj': 4}"
4.947368421052632,-13.28553910255432,25.12043114349371,"{'stem.0': 16, 'fc': 8, 'layers.1.vss.1.out_proj': 8, 'layers.1.vss.1.in_proj': 4, 'proj_conv': 8, 'layers.0.vss.1.conv2d': 4, 'layers.1.vss.1.conv2d': 4, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_proj': 4}"
5.368421052631579,-13.03212594985962,25.123441922081053,"{'stem.0': 16, 'fc': 8, 'layers.1.vss.1.out_proj': 8, 'layers.1.vss.1.in_proj': 4, 'proj_conv': 4, 'layers.0.vss.1.conv2d': 4, 'layers.1.vss.1.conv2d': 4, 'layers.0.vss.1.in_proj': 4, 'layers.0.vss.1.out_proj': 4}"
