Target_Saving,Actual_Saving,NMSE_ILP,NMSE_KL,Policy,INT16,INT8,INT4,INT2
87.0,87.019028120672,-15.323573970794678,-15.324937438964843,"{'stem.0': 16, 'fc_part31': 16, 'fc_part8': 8, 'fc_part2': 8, 'fc_part7': 8, 'fc_part3': 8, 'fc_part13': 8, 'fc_part1': 8, 'fc_part23': 8, 'fc_part27': 8, 'fc_part12': 8, 'fc_part30': 8, 'fc_part11': 8, 'fc_part25': 8, 'fc_part17': 8, 'fc_part19': 8, 'fc_part10': 8, 'fc_part28': 8, 'fc_part24': 8, 'fc_part29': 8, 'fc_part0': 8, 'fc_part5': 8, 'fc_part22': 8, 'fc_part15': 8, 'fc_part14': 8, 'fc_part4': 8, 'fc_part9': 8, 'fc_part21': 8, 'fc_part26': 8, 'fc_part16': 8, 'fc_part20': 8, 'fc_part6': 8, 'fc_part18': 8, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 8, 'layers.0.vss.1.in_proj': 8, 'proj_conv': 16, 'layers.1.vss.1.conv2d': 16, 'layers.0.vss.1.conv2d': 16}",7,33,0,0
87.2,87.33214909375565,-15.323573970794678,-15.323573970794678,"{'stem.0': 16, 'fc_part31': 8, 'fc_part8': 8, 'fc_part2': 8, 'fc_part7': 8, 'fc_part3': 8, 'fc_part13': 8, 'fc_part1': 8, 'fc_part23': 8, 'fc_part27': 8, 'fc_part12': 8, 'fc_part30': 8, 'fc_part11': 8, 'fc_part25': 8, 'fc_part17': 8, 'fc_part19': 8, 'fc_part10': 8, 'fc_part28': 8, 'fc_part24': 8, 'fc_part29': 8, 'fc_part0': 8, 'fc_part5': 8, 'fc_part22': 8, 'fc_part15': 8, 'fc_part14': 8, 'fc_part4': 8, 'fc_part9': 8, 'fc_part21': 8, 'fc_part26': 8, 'fc_part16': 8, 'fc_part20': 8, 'fc_part6': 8, 'fc_part18': 8, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 16, 'layers.0.vss.1.in_proj': 16, 'proj_conv': 16, 'layers.1.vss.1.conv2d': 16, 'layers.0.vss.1.conv2d': 16}",8,32,0,0
87.4,87.40440777985187,-15.323573970794678,-15.323573970794678,"{'stem.0': 16, 'fc_part31': 8, 'fc_part8': 8, 'fc_part2': 8, 'fc_part7': 8, 'fc_part3': 8, 'fc_part13': 8, 'fc_part1': 8, 'fc_part23': 8, 'fc_part27': 8, 'fc_part12': 8, 'fc_part30': 8, 'fc_part11': 8, 'fc_part25': 8, 'fc_part17': 8, 'fc_part19': 8, 'fc_part10': 8, 'fc_part28': 8, 'fc_part24': 8, 'fc_part29': 8, 'fc_part0': 8, 'fc_part5': 8, 'fc_part22': 8, 'fc_part15': 8, 'fc_part14': 8, 'fc_part4': 8, 'fc_part9': 8, 'fc_part21': 8, 'fc_part26': 8, 'fc_part16': 8, 'fc_part20': 8, 'fc_part6': 8, 'fc_part18': 8, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 8, 'layers.0.vss.1.in_proj': 8, 'proj_conv': 16, 'layers.1.vss.1.conv2d': 16, 'layers.0.vss.1.conv2d': 16}",6,34,0,0
87.6,87.60387186126333,-15.214464855194091,-15.214779376983643,"{'stem.0': 16, 'fc_part31': 8, 'fc_part8': 8, 'fc_part2': 8, 'fc_part7': 8, 'fc_part3': 8, 'fc_part13': 8, 'fc_part1': 8, 'fc_part23': 8, 'fc_part27': 8, 'fc_part12': 8, 'fc_part30': 8, 'fc_part11': 8, 'fc_part25': 8, 'fc_part17': 8, 'fc_part19': 8, 'fc_part10': 8, 'fc_part28': 8, 'fc_part24': 8, 'fc_part29': 8, 'fc_part0': 8, 'fc_part5': 8, 'fc_part22': 8, 'fc_part15': 8, 'fc_part14': 8, 'fc_part4': 8, 'fc_part9': 8, 'fc_part21': 8, 'fc_part26': 8, 'fc_part16': 8, 'fc_part20': 8, 'fc_part6': 8, 'fc_part18': 4, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 8, 'layers.0.vss.1.in_proj': 8, 'proj_conv': 16, 'layers.1.vss.1.conv2d': 8, 'layers.0.vss.1.conv2d': 16}",5,34,1,0
87.8,87.80333594267478,-15.103712940216065,-15.103712940216065,"{'stem.0': 16, 'fc_part31': 8, 'fc_part8': 8, 'fc_part2': 8, 'fc_part7': 8, 'fc_part3': 8, 'fc_part13': 8, 'fc_part1': 8, 'fc_part23': 8, 'fc_part27': 8, 'fc_part12': 8, 'fc_part30': 8, 'fc_part11': 8, 'fc_part25': 8, 'fc_part17': 8, 'fc_part19': 8, 'fc_part10': 8, 'fc_part28': 8, 'fc_part24': 8, 'fc_part29': 8, 'fc_part0': 8, 'fc_part5': 8, 'fc_part22': 8, 'fc_part15': 8, 'fc_part14': 8, 'fc_part4': 8, 'fc_part9': 8, 'fc_part21': 8, 'fc_part26': 8, 'fc_part16': 8, 'fc_part20': 4, 'fc_part6': 8, 'fc_part18': 4, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 8, 'layers.0.vss.1.in_proj': 8, 'proj_conv': 16, 'layers.1.vss.1.conv2d': 8, 'layers.0.vss.1.conv2d': 8}",4,34,2,0
88.0,88.00656349732041,-14.8919189453125,-14.996165370941162,"{'stem.0': 16, 'fc_part31': 8, 'fc_part8': 8, 'fc_part2': 8, 'fc_part7': 8, 'fc_part3': 8, 'fc_part13': 8, 'fc_part1': 8, 'fc_part23': 8, 'fc_part27': 8, 'fc_part12': 8, 'fc_part30': 8, 'fc_part11': 8, 'fc_part25': 8, 'fc_part17': 8, 'fc_part19': 8, 'fc_part10': 8, 'fc_part28': 8, 'fc_part24': 8, 'fc_part29': 8, 'fc_part0': 8, 'fc_part5': 8, 'fc_part22': 8, 'fc_part15': 8, 'fc_part14': 8, 'fc_part4': 8, 'fc_part9': 4, 'fc_part21': 8, 'fc_part26': 8, 'fc_part16': 8, 'fc_part20': 4, 'fc_part6': 8, 'fc_part18': 4, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 8, 'layers.0.vss.1.out_proj': 8, 'layers.0.vss.1.in_proj': 8, 'proj_conv': 16, 'layers.1.vss.1.conv2d': 16, 'layers.0.vss.1.conv2d': 16}",5,32,3,0
88.2,88.20602757873186,-14.8919189453125,-14.896262741088867,"{'stem.0': 16, 'fc_part31': 8, 'fc_part8': 8, 'fc_part2': 8, 'fc_part7': 8, 'fc_part3': 8, 'fc_part13': 8, 'fc_part1': 8, 'fc_part23': 8, 'fc_part27': 8, 'fc_part12': 8, 'fc_part30': 8, 'fc_part11': 8, 'fc_part25': 8, 'fc_part17': 8, 'fc_part19': 8, 'fc_part10': 8, 'fc_part28': 8, 'fc_part24': 8, 'fc_part29': 8, 'fc_part0': 8, 'fc_part5': 8, 'fc_part22': 8, 'fc_part15': 8, 'fc_part14': 8, 'fc_part4': 8, 'fc_part9': 4, 'fc_part21': 8, 'fc_part26': 8, 'fc_part16': 8, 'fc_part20': 4, 'fc_part6': 4, 'fc_part18': 4, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 8, 'layers.0.vss.1.out_proj': 8, 'layers.0.vss.1.in_proj': 8, 'proj_conv': 16, 'layers.1.vss.1.conv2d': 8, 'layers.0.vss.1.conv2d': 16}",4,32,4,0
88.4,88.40549166014331,-14.794275665283203,-14.794275665283203,"{'stem.0': 16, 'fc_part31': 8, 'fc_part8': 8, 'fc_part2': 8, 'fc_part7': 8, 'fc_part3': 8, 'fc_part13': 8, 'fc_part1': 8, 'fc_part23': 8, 'fc_part27': 8, 'fc_part12': 8, 'fc_part30': 8, 'fc_part11': 8, 'fc_part25': 8, 'fc_part17': 8, 'fc_part19': 8, 'fc_part10': 8, 'fc_part28': 8, 'fc_part24': 8, 'fc_part29': 8, 'fc_part0': 8, 'fc_part5': 8, 'fc_part22': 8, 'fc_part15': 8, 'fc_part14': 8, 'fc_part4': 8, 'fc_part9': 4, 'fc_part21': 8, 'fc_part26': 4, 'fc_part16': 8, 'fc_part20': 4, 'fc_part6': 4, 'fc_part18': 4, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 8, 'layers.0.vss.1.out_proj': 8, 'layers.0.vss.1.in_proj': 8, 'proj_conv': 16, 'layers.1.vss.1.conv2d': 8, 'layers.0.vss.1.conv2d': 8}",3,32,5,0
88.6,88.60871921478895,-14.69067187309265,-14.696017694473266,"{'stem.0': 16, 'fc_part31': 8, 'fc_part8': 8, 'fc_part2': 8, 'fc_part7': 8, 'fc_part3': 8, 'fc_part13': 8, 'fc_part1': 8, 'fc_part23': 8, 'fc_part27': 8, 'fc_part12': 8, 'fc_part30': 8, 'fc_part11': 8, 'fc_part25': 8, 'fc_part17': 8, 'fc_part19': 8, 'fc_part10': 8, 'fc_part28': 8, 'fc_part24': 8, 'fc_part29': 8, 'fc_part0': 8, 'fc_part5': 8, 'fc_part22': 8, 'fc_part15': 8, 'fc_part14': 8, 'fc_part4': 8, 'fc_part9': 4, 'fc_part21': 8, 'fc_part26': 4, 'fc_part16': 4, 'fc_part20': 4, 'fc_part6': 4, 'fc_part18': 4, 'layers.1.vss.1.in_proj': 8, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 8, 'layers.0.vss.1.in_proj': 8, 'proj_conv': 16, 'layers.1.vss.1.conv2d': 16, 'layers.0.vss.1.conv2d': 16}",5,29,6,0
88.8,88.80140904437887,-14.600030660629272,-14.600030660629272,"{'stem.0': 16, 'fc_part31': 8, 'fc_part8': 8, 'fc_part2': 8, 'fc_part7': 8, 'fc_part3': 8, 'fc_part13': 8, 'fc_part1': 8, 'fc_part23': 8, 'fc_part27': 8, 'fc_part12': 8, 'fc_part30': 8, 'fc_part11': 8, 'fc_part25': 8, 'fc_part17': 8, 'fc_part19': 8, 'fc_part10': 8, 'fc_part28': 8, 'fc_part24': 8, 'fc_part29': 8, 'fc_part0': 8, 'fc_part5': 8, 'fc_part22': 8, 'fc_part15': 8, 'fc_part14': 4, 'fc_part4': 8, 'fc_part9': 4, 'fc_part21': 8, 'fc_part26': 4, 'fc_part16': 4, 'fc_part20': 4, 'fc_part6': 4, 'fc_part18': 4, 'layers.1.vss.1.in_proj': 8, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 8, 'layers.0.vss.1.in_proj': 8, 'proj_conv': 16, 'layers.1.vss.1.conv2d': 16, 'layers.0.vss.1.conv2d': 16}",5,28,7,0
